,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
2387017,sg:e5e2e2e9fba2416b9d5357f0030dbf13,Chrysalis Recovery Center LLC IDCMP DWI Program,NH,3261,621511.0,2,312.5,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":2}",43.221523,-71.230897,NH,33.0,33015.0,Rockingham County,330150570002.0
2387200,sg:ee633baee1914e5e9a70c6140d542286,HomeSense,NH,3079,442299.0,4,11.0,"{""<5"":0,""5-20"":3,""21-60"":0,""61-240"":1,"">240"":0}",42.780246999999996,-71.228486,NH,33.0,33015.0,Rockingham County,330151004003.0
2387430,sg:f62b1d752ff74c59886c4808ab19bf1c,Plaistow Chicken Connection,NH,3865,722511.0,9,10.0,"{""<5"":1,""5-20"":7,""21-60"":1,""61-240"":0,"">240"":0}",42.823023,-71.103942,NH,33.0,33015.0,Rockingham County,330151011002.0
2387643,sg:fe1029dc74e6433ca457699179ece195,Sugar & Spice Preschool,NH,3281,611110.0,14,163.0,"{""<5"":1,""5-20"":2,""21-60"":3,""61-240"":2,"">240"":6}",43.094058000000004,-71.731926,NH,33.0,33011.0,Hillsborough County,330110210003.0
2387776,sg:0253333ec1e34fb081019b7c24271629,Sport Thoma,NH,3215,451110.0,3,8.0,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":0,"">240"":0}",43.964882,-71.527567,NH,33.0,33009.0,Grafton County,330099604002.0
2387897,sg:065892fe5b7b4ab5a59688151e235704,Shell Oil,NH,3060,447110.0,38,6.0,"{""<5"":4,""5-20"":28,""21-60"":1,""61-240"":3,"">240"":2}",42.750468,-71.488098,NH,33.0,33011.0,Hillsborough County,330110108002.0
2388058,sg:0be0471aa3394a118c6ba8929cda1c0a,Gin Gin Restaurant,NH,3242,722511.0,33,16.0,"{""<5"":2,""5-20"":16,""21-60"":3,""61-240"":5,"">240"":7}",43.179893,-71.82220500000001,NH,33.0,33013.0,Merrimack County,330130400002.0
2388135,sg:0db530a331404c91b8e89895ba525808,Wildcat Inn & Tavern,NH,3846,722511.0,3,155.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":2,"">240"":0}",44.145047999999996,-71.180347,NH,33.0,33003.0,Carroll County,330039551001.0
2388250,sg:1202a6bf8399455aa50abe942a87ec27,Michaels Stores,NH,3801,451120.0,1,19.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",43.0946,-70.799667,NH,33.0,33015.0,Rockingham County,330151075001.0
2388319,sg:14a0e380ef564fb8afe5f447fa3692e3,Seacoast Sports Clubs,NH,3842,713940.0,6,8.5,"{""<5"":0,""5-20"":4,""21-60"":1,""61-240"":1,"">240"":0}",42.929654,-70.822183,NH,33.0,33015.0,Rockingham County,330150650071.0
