,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
11382,sg:89151673f0564e398beab9e4f175330e,Khoo Kitchen,RI,2904,722511.0,52,151.5,"{""<5"":1,""5-20"":11,""21-60"":3,""61-240"":15,"">240"":22}",41.853922999999995,-71.420326,RI,44.0,44007.0,Providence County,440070029002.0
11579,sg:905fad4a6fcc4b2f847476e2833bb6fe,Chapel Pharmacy,RI,2864,446110.0,7,8.0,"{""<5"":0,""5-20"":7,""21-60"":0,""61-240"":0,"">240"":0}",41.945718,-71.40253100000001,RI,44.0,44007.0,Providence County,440070113021.0
11648,sg:931851f7395e4a0f9e119863e071096c,Ann & Hope Curtain & Bath Outlet,RI,2888,452319.0,70,21.5,"{""<5"":0,""5-20"":34,""21-60"":15,""61-240"":8,"">240"":13}",41.735842,-71.437768,RI,44.0,44003.0,Kent County,440030211004.0
12033,sg:a1655cf518e64a05bcb79e95c64b58f6,Pro Grooming,RI,2816,453910.0,20,62.5,"{""<5"":0,""5-20"":8,""21-60"":2,""61-240"":3,"">240"":7}",41.680848,-71.573459,RI,44.0,44003.0,Kent County,440030206022.0
12260,sg:a8793419a7df4d45b6b28dd83b742dde,Ri Ecig & Vapes,RI,2886,444120.0,5,12.0,"{""<5"":0,""5-20"":5,""21-60"":0,""61-240"":0,"">240"":0}",41.718101000000004,-71.4867,RI,44.0,44003.0,Kent County,440030223002.0
12667,sg:b845e0f4cddb4a4b98780c14292bc4dc,Suburban Propane,RI,2816,454310.0,13,36.0,"{""<5"":1,""5-20"":2,""21-60"":6,""61-240"":2,"">240"":2}",41.703175,-71.608289,RI,44.0,44003.0,Kent County,440030207033.0
13061,sg:c57f4ed18c7a486db0b0da8d4e2061bd,Breezy Knoll Child Care Center,RI,2917,624410.0,5,854.0,"{""<5"":1,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":4}",41.909227,-71.524474,,,,,
13234,sg:cc019ffcd39d4aafbe2ebfae271f11fa,Olneyville Tire Shop,RI,2909,441310.0,2,10.5,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":0}",41.815659000000004,-71.44503399999999,RI,44.0,44007.0,Providence County,440070016002.0
13300,sg:cdcd87a248704087bcbc34fd983f5899,IHOP,RI,2908,722511.0,18,11.0,"{""<5"":3,""5-20"":10,""21-60"":2,""61-240"":3,"">240"":0}",41.82993,-71.426048,RI,44.0,44007.0,Providence County,440070025002.0
13441,sg:d2cf5fc54f7e46b592bc8519ca922fe0,Lisbon Flowers & Gifts,RI,2863,453110.0,26,10.0,"{""<5"":1,""5-20"":17,""21-60"":3,""61-240"":3,"">240"":2}",41.887999,-71.38173,RI,44.0,44007.0,Providence County,440070108001.0
